XLC,XLC,XLP,XLP,XLY,XLY,XLE,XLE,XLF,XLF,XLV,XLV,XLI,XLI,XLB,XLB,XLRE,XLRE,XLK,XLK,XLU,XLU
Open,Adj Close,Open,Adj Close,Open,Adj Close,Open,Adj Close,Open,Adj Close,Open,Adj Close,Open,Adj Close,Open,Adj Close,Open,Adj Close,Open,Adj Close,Open,Adj Close
48.58000183105469,49.798789978027344,74.58999633789062,73.28292846679688,129.92999267578125,130.65179443359375,86.91999816894531,83.78148651123047,34.45000076293945,34.58991622924805,135.9600067138672,132.96145629882812,98.77999877929688,98.84334564208984,77.80999755859375,78.41775512695312,37.22999954223633,36.323116302490234,125.7699966430664,123.4537353515625,70.69999694824219,68.14584350585938
50.619998931884766,51.72553634643555,75.7300033569336,72.27719116210938,133.6699981689453,138.1998291015625,88.87999725341797,86.06835174560547,35.5,35.31338882446289,135.80999755859375,132.74588012695312,101.16000366210938,100.36160278320312,81.02999877929688,81.75466918945312,38.060001373291016,37.93406295776367,125.8499984741211,129.15480041503906,70.98999786376953,68.46258544921875
52.220001220703125,52.46657943725586,74.86000061035156,70.22704315185547,140.11000061035156,137.48756408691406,90.16000366210938,86.57549285888672,36.029998779296875,34.56058120727539,135.3800048828125,131.2366180419922,102.4000015258789,96.9626693725586,83.93000030517578,80.76921081542969,39.58000183105469,37.6080436706543,130.30999755859375,129.99609375,71.37999725341797,66.44700622558594
53.150001525878906,54.630462646484375,72.76000213623047,70.45914459228516,139.35000610351562,146.30189514160156,91.13999938964844,87.29312133789062,35.380001068115234,35.440486907958984,133.99000549316406,130.20758056640625,99.30000305175781,99.06863403320312,82.66999816894531,81.3741455078125,39.25,38.69158935546875,131.8699951171875,135.3012237548828,68.98999786376953,66.12068176269531
54.7400016784668,57.50575256347656,72.70999908447266,70.98135375976562,146.77999877929688,149.72474670410156,90.56999969482422,82.25053405761719,36.060001373291016,35.77289581298828,132.61000061035156,130.0409698486328,100.51000213623047,100.74361419677734,82.88999938964844,81.3839111328125,40.029998779296875,39.27652359008789,135.1300048828125,140.31936645507812,68.63999938964844,65.18006134033203
57.52000045776367,54.30439758300781,73.27999877929688,70.56552124023438,150.77999877929688,146.55908203125,86.04000091552734,86.31712341308594,36.380001068115234,35.67512512207031,132.5,129.84495544433594,102.3499984741211,100.04815673828125,82.66999816894531,80.03742980957031,40.380001068115234,38.471046447753906,140.1999969482422,138.94357299804688,67.66000366210938,64.98810577392578
55.22999954223633,54.68974304199219,73.19000244140625,71.25212097167969,148.13999938964844,148.95310974121094,89.75,80.8439712524414,36.470001220703125,35.57735824584961,132.50999450683594,129.35494995117188,102.33999633789062,100.91992950439453,82.16999816894531,79.32516479492188,40.27000045776367,37.98201370239258,140.92999267578125,138.3893280029297,67.73999786376953,65.7271499633789
54.790000915527344,52.60491943359375,73.37999725341797,70.3140869140625,148.32000732421875,142.31517028808594,84.12000274658203,81.00662994384766,36.08000183105469,34.8636589050293,131.02999877929688,125.94442749023438,102.26000213623047,98.25563049316406,80.87999725341797,79.21784210205078,39.400001525878906,36.56283950805664,137.9499969482422,134.69747924804688,67.9800033569336,63.93232345581055
53.630001068115234,54.10678482055664,73.05999755859375,70.14968872070312,145.49000549316406,144.73886108398438,84.83000183105469,83.49443054199219,35.9900016784668,35.18629455566406,129.2100067138672,126.59123992919922,101.5199966430664,101.54682159423828,81.70999908447266,82.54499816894531,38.66999816894531,37.15735626220703,137.4600067138672,138.70603942871094,66.94000244140625,63.5867919921875
